gene,RNA,protein,
860,0.028497324,0.224182089,
861,-0.127731231,0.122802828,
862,0.386707649,0.07686886,
863,-0.213669521,-0.03863935,
864,-0.046758966,0.492465017,
865,0.132170457,-0.08417333,
866,0.103043198,-0.190027987,
867,0.148865619,-0.051794819,
868,0.054170228,-0.276973343,
869,-0.125991965,0.122001803,
870,-0.037502428,0.234354108,
871,-0.153027444,-0.230503145,
872,-0.007348975,0.073711872,
873,-0.151048466,-0.392345557,
874,-0.243471598,0.138886454,
875,0.070578186,0.447483076,
876,0.083826547,0.501686211,
877,-0.088705637,0.144753249,
878,0.151108932,0.429829471,
879,-0.156065595,-0.147315305,
880,-0.055398366,0.418969795,
881,0.932052457,1.907359883,
882,-0.216117684,0.130149463,
883,-0.181473526,0.287317246,
884,0.089829906,0.134381351,
885,0.029497136,0.323412098,
886,0.060684854,0.377464487,
887,0.003098191,0.200130062,
888,0.057483244,0.222845085,
889,0.258554011,0.587460858,
890,0.136150375,-0.195219133,
891,0.334129914,-0.20859591,
892,-0.274992308,0.978169929,
893,-0.245343989,-0.205826807,
894,0.082995564,-0.14231315,
895,-0.034612247,-0.349047941,
896,-0.025976863,0.063217075,
897,-0.072529846,-0.214110073,
898,0.016120161,-0.077804923,
899,-0.043093564,-0.132750201,
900,0.015517161,0.330368882,
901,-0.01873011,-0.060162039,
902,-0.939489019,-0.748987162,
903,-0.048871132,-0.086401279,
904,-0.144698896,-0.295706713,
905,0.116572057,-0.197945358,
906,-0.010990794,0.336492344,
907,-0.104208884,-0.293944117,
908,0.263388524,0.291267112,
909,0.267852672,-0.419333134,
910,0.096009603,-0.078046905,
911,0.013612888,-0.12224251,
912,-0.086507694,-0.419588795,
913,-0.170339409,-0.080156089,
914,-0.068208205,-0.13671661,
915,-0.02018189,0.061470944,
916,-0.167685493,0.039643918,
917,0.076595134,-0.167042444,
918,-0.185252074,-0.136829058,
919,-0.057956673,0.101893901,
920,0.336716994,0.797549948,
921,-0.115379673,-0.215310573,
922,-0.040643291,0.257055879,
923,0.043586614,-0.188422401,
924,-0.14188778,0.146013777,
925,0.337330112,0.359696323,
926,-0.183914185,0.44218008,
927,-0.016589853,-0.331813273,
928,-0.09848175,-0.030154078,
929,0.061003737,-0.145417968,
930,-0.175974414,-0.097904105,
931,-0.190344747,-0.2637913,
932,-0.113294275,-0.123991907,
933,-0.069163535,0.118962374,
934,-0.004997948,0.369577436,
935,0.037103068,0.279106262,
936,0.048705265,0.014609085,
937,-0.080991761,0.05509781,
938,0.139303602,0.343482222,
939,-0.002016143,-0.38173231,
940,0.085345747,-0.340049859,
941,-0.065020212,-0.140036634,
942,-0.091443232,-0.187939793,
943,-0.039314818,-0.236709321,
944,0.014429944,0.217457644,
945,-0.03543773,0.273306882,
946,-0.12594584,-0.165266809,
947,0.067996627,0.028771079,
948,0.588510371,-0.006885226,
949,-0.020080181,0.187334604,
950,0.335724805,-0.006238522,
951,-0.090628728,-0.408679504,
952,-0.131804886,0.020783999,
953,-0.031453514,0.094731552,
954,0.037746114,0.109824858,
955,-0.130515899,0.139184822,
956,-0.029641829,0.372263787,
957,0.100554085,-0.055608778,
958,-0.099711459,0.205629136,
959,-0.120317384,0.187220769,
960,0.039700672,0.215948799,
961,0.09484964,-0.098796806,
962,0.022758406,0.25534578,
963,0.022994079,0.293320536,
964,-0.16254482,0.074706115,
965,0.113802815,-0.133632678,
966,-0.054349282,-0.079861583,
967,0.012894632,-0.27392926,
968,-0.029637519,-0.248776519,
969,-0.096553838,-0.080184104,
970,-0.149044313,-0.02810328,
971,0.034575508,0.16520449,
972,0.664116522,0.8351404,
973,-0.016364288,0.174118161,
974,0.038548162,-0.064888724,
975,0.058384884,-0.011230714,
976,0.00172646,0.287348782,
977,-0.209755022,-0.019391245,
978,-0.101716301,-0.106698106,
979,-0.217738343,0.346122526,
980,-0.194225376,0,
981,-0.089955507,-0.032492662,
982,0.037627232,0.023689477,
983,-0.113070172,0.336403039,
984,0.033787024,0.142443375,
985,-0.077938591,0.222772245,
986,0.141559854,0.174028562,
987,-0.021288157,-0.010897989,
988,-0.228978519,-0.067078152,
989,-0.127559354,0.174028562,
990,0.018235467,-0.528111753,
991,0.167555373,-0.252221756,
992,-0.370456705,-0.14382276,
993,-0.1096204,-0.587844926,
994,-0.045277382,-0.008870439,
995,-0.310412564,-0.124091937,
996,-0.054306098,0.064350199,
997,0.025222842,-0.091128287,
998,-0.221794838,-0.630260543,
999,0.179784617,0.9674113,
1000,-0.057460478,-0.184320812,
1001,0.087568338,0.375103693,
1002,-0.107513409,-0.234392169,
1003,-0.083205843,0.087874429,
1004,0.134073039,-0.209396864,
1005,-0.02351684,0.011434281,
1006,-0.003179012,-0.295895902,
1007,0.074509239,-0.098302084,
1008,0.121655414,0.225103851,
1009,0.047776603,0.112431592,
1010,0.027353895,-0.011734092,
1011,0.126047244,0.021022847,
1012,-0.033777564,0.129428104,
1013,0.052686312,0.24623294,
1014,0.215087928,0.054400948,
1015,-0.047762613,0.021290418,
1016,0.107399647,0.125282154,
1017,-0.028862092,-0.149557421,
1018,0.024767364,-0.207385042,
1019,-0.10580283,0.731927934,
1020,-0.085891077,-0.19252585,
1021,-0.052007054,-0.230710467,
1022,-0.089903581,0.123452601,
1023,-0.392776899,0.069157081,
1024,-0.081839396,-0.230348455,
1025,0.245241972,0.505916203,
1026,0.212483259,0.026923532,
1027,0.063202242,0.072035263,
1028,0.122566197,0,
1029,-0.086600337,-0.213892764,
1030,0.201828272,-0.346193301,
1031,-0.184617199,-0.297060796,
1032,0.004232808,2.866212251,
1033,-0.016065796,-0.07950402,
1034,-0.051853231,0.235775806,
1035,-0.065673779,-0.020823267,
1036,-0.089737726,-0.329485937,
1037,-0.108637933,-0.356001793,
1038,0.117045794,0.426076488,
1039,-0.010947163,0.125975635,
1040,-0.008105044,-0.285744843,
1041,-0.058766081,-0.112543024,
1042,-0.323755341,-0.556435268,
1043,-0.132529764,-0.16368492,
1044,0.038966234,-0.357330588,
1045,-0.467682025,0.144687289,
1046,-0.052039029,0.270525179,
1047,0.003590561,-0.106406498,
1048,0.081130147,0.089013799,
1049,-0.031072324,-0.193993315,
1050,-0.003095369,-0.101652186,
1051,0.030115508,-0.119451275,
1052,0.24449513,0.184998153,
1053,-0.002280878,-0.106391761,
1054,-0.046178449,-0.086229773,
1055,-0.218088359,-1.001322842,
1056,-0.026018449,-0.131545218,
1057,0.030926241,0.152027898,
1058,-0.16994982,0.07201208,
1059,-0.098036835,-0.026274329,
1060,-0.105757237,0.086449238,
1061,-0.095148578,-0.017804483,
1062,-0.121348314,-0.003627925,
1063,-0.089324545,-0.524307501,
1064,-0.078717814,0.10860851,
1065,0.086709524,-0.540881872,
1066,-0.103057978,0.016274223,
1067,-0.072969493,-0.148618722,
1068,0.001305564,0.107580361,
1069,0.100240285,-0.58589283,
1070,-0.106973136,-0.146567186,
1071,-0.073820378,0.101002089,
1072,-0.220536818,0.085850512,
1073,-0.211995248,-0.061006114,
1074,-0.243140895,-0.120168276,
1075,-0.071542965,-0.121112704,
1076,-0.045102502,0.009198834,
1077,-0.077590841,-0.327944669,
1078,0.013127578,-0.143005733,
1079,0.075527842,0.121130665,
1080,-0.109837611,0.205749948,
1081,-0.106652825,-0.596483372,
1082,-0.051655994,-0.131388053,
1083,0.131548479,0.55243952,
1084,-0.111279545,-0.024540677,
1085,-0.103254612,-0.221287445,
1086,0.180095199,0.422218456,
1087,-0.046578495,0.12113788,
1088,0.00857734,0.066367919,
1089,-0.007830745,0.684624778,
1090,-0.040340075,-0.154597581,
1091,-0.160014932,0.214916032,
1092,0.072862248,-0.041793336,
1093,-0.148545744,0.13767036,
1094,-0.051597932,-0.305992249,
1095,0.036986919,0.054378007,
1096,0.002016371,-0.171603438,
1097,-0.217491894,-0.047749623,
1098,-0.002484671,-0.004313215,
1099,-0.276079507,-0.260314166,
1100,0.48057914,1.690648291,
1101,-0.060597607,0.049457941,
1102,-0.207254755,-0.369009427,
1103,-0.105212547,-0.236643301,
1104,-0.07941594,-0.04705117,
1105,0.006128752,-0.123779037,
1106,-0.021572079,-0.053523587,
1107,0.238996071,-1.66272453,
1108,0.056866407,-0.171603438,
1109,-0.078831626,-0.011731874,
1110,-0.032040138,0.088469142,
1111,-0.06904734,-0.012035038,
1112,0.135564848,0.021435229,
1113,-0.013622586,-0.039588366,
1114,0.132393295,0.242516145,
1115,0.076397477,-0.184507246,
1116,-0.088016024,-0.012586075,
1117,-0.000863783,-0.060254425,
1118,0.017596335,-0.208074842,
1119,-0.101363171,-0.313462809,
1120,-0.838861577,-0.047749623,
1121,-0.05046195,-0.455224428,
1122,-0.106635632,-0.220405422,
1123,-0.012719282,-0.001536655,
1124,-0.146514036,0.093383679,
1125,-0.008530876,0.062724369,
1126,-0.007244945,0.30995017,
1127,-0.115998969,0.449586974,
1128,0.144467751,0.043458543,
1129,0.036104661,0.14604516,
1130,0.036418827,0.355523214,
1131,-0.172189831,-0.03034429,
1132,-0.036271785,0.162088596,
1133,-0.011326497,-0.270822645,
1134,-0.117188156,-0.011737238,
1135,0.131132942,0.039204689,
1136,-0.023627244,0.112014252,
1137,-0.117628749,-0.153001887,
1138,-0.087048324,-0.226691451,
1139,-0.042274807,-0.105542268,
1140,-0.040212975,0.163594315,
1141,-0.230841019,-0.202678175,
1142,-0.001586647,0.553209235,
1143,-0.051576384,0.147837512,
1144,0.225085926,0.505230782,
1145,0.033516966,0.410084885,
1146,-0.126152988,0.053519073,
1147,0.062271163,-0.096632571,
1148,0.018340826,-0.177575306,
1149,-0.183904187,-0.156304148,
1150,-0.069682766,-0.079932327,
1151,0.041254121,-0.085718989,
1152,-0.067732357,0.001749391,
1153,-0.315403919,-0.501192044,
1154,-0.047383818,-0.160216779,
1155,-0.051896656,0.005790271,
1156,0.07169618,0.151579083,
1157,0.278540375,0.832409826,
1158,0.017300588,-0.10186521,
1159,-0.08688212,-0.16222528,
1160,-0.042322345,-0.284047453,
1161,-0.151144087,-0.174129482,
1162,0.032584027,-0.164216678,
1163,-0.132393067,0.295397941,
1164,0.051348018,0.216300587,
1165,0.065613954,-0.211117458,
1166,0.010195961,-0.012440731,
1167,0.058055209,0.472152309,
1168,-0.071748178,-0.047819326,
1169,-1.361977253,0,
1170,0.177786263,0.267600399,
1171,-0.021805924,0.130737172,
1172,0.053831616,-0.100263812,
1173,0.045736304,0.082300156,
1174,0.018744932,0.079843332,
1175,-0.050364126,-0.162135049,
1176,-0.039767913,-0.033023349,
1177,0.030838144,0.203287738,
1178,-0.160313847,0.062201463,
1179,0.130428175,0.293836022,
1180,-0.095516425,0.186820448,
1181,-0.012795508,-0.194028172,
1182,-0.116903551,0.00868296,
1183,-0.366355171,-0.184227203,
1184,0.78147633,-0.184715192,
1185,-0.041760932,-0.22133567,
1186,0.003464088,0.193186189,
1187,-0.004134733,0.18001535,
1188,-0.008410816,-0.225844122,
1189,-0.264026031,0.039367097,
1190,-0.136169389,-0.386066327,
1191,-0.056477803,0.186604163,
1192,0.02149955,-0.003610292,
1193,-0.101183168,-0.094759711,
1194,-0.072302464,-0.309538164,
1195,-0.14475993,-0.239479651,
1196,-0.086829085,-0.035741395,
1197,0.060992216,-0.028442217,
1198,-0.00300347,0.141055853,
1199,0.140736014,0.200357778,
1200,-0.194818804,-0.14890191,
1201,-0.047943593,0.042530356,
1202,0.034119319,0.254728263,
1203,0.012182702,0.018608393,
1204,0.062520884,0.380241986,
1205,0.206962363,-0.047168753,
1206,0.179675669,0.207221421,
1207,0.379676645,0.022646857,
1208,0.137281607,-0.109428194,
1209,-0.029263021,-0.077592442,
1210,0.067714241,0.194429048,
1211,-0.077501222,-0.209970325,
1212,-0.214151473,-0.095946401,
1213,0.1119579,0.36022244,
1214,-0.113206916,0.411805977,
1215,0.022018891,0.335078044,
1216,-0.005157283,0.145744078,
1217,-0.000827526,0.178496833,
1218,-0.159259956,-0.092248346,
1219,-0.031175949,-0.127457719,
1220,-0.001374956,0.09088014,
1221,-0.046881124,-0.128808012,
1222,0.037381925,-0.191260037,
1223,-0.058636104,0.093422228,
1224,-0.041824634,-0.089269361,
1225,0.08311401,0.037149263,
1226,-0.058789035,-0.068255874,
1227,-0.003500166,-0.333570551,
1228,0.090244427,0.039152432,
1229,0.020354574,-0.083972852,
1230,-0.12589402,-0.070674511,
1231,0.048438542,-0.33928251,
1232,-0.01860567,0.004316705,
1233,-0.080193518,-0.188097046,
1234,-0.024433455,-0.371941142,
1235,0.080990053,0.143880714,
1236,-0.139921697,0.034235935,
1237,0.113186264,0.713257721,
1238,-0.036267676,-0.058307093,
1239,-0.035546213,0.006674385,
1240,-0.057328028,0.020324484,
1241,0.037834558,0.082557754,
1242,-0.101816086,-0.067323384,
1243,0.034488147,-0.234210427,
1244,0.009628983,-0.313861926,
1245,0.038075655,0.089872808,
1246,0.067770002,-0.0461788,
1247,-0.01176369,-0.249807415,
1248,0.202970564,-0.011388335,
1249,-0.122912982,0.059992038,
1250,-0.059354541,0.076560281,
1251,-0.040761145,0.302989308,
1252,-0.081794469,0.22872404,
1253,0.058853345,-0.186714436,
1254,-0.153120121,0.216162663,
1255,0.142649172,0.780448091,
1256,-0.024873809,-0.069368897,
1257,-0.298843302,0.969847028,
1258,0.01033285,0.341097586,
1259,-0.019433771,0.276765008,
1260,-0.039292695,-0.252283316,
1261,-0.036806839,0.099364002,
1262,-0.033761902,-0.365116646,
1263,-0.05142733,0.242498017,
1264,0.021669135,-0.085932448,
1265,-0.086077164,0.043039746,
1266,-0.012591671,0.19998884,
1267,-0.114564291,0.033304956,
1268,-0.059439277,-0.226764913,
1269,0.035517492,-0.199545491,
1270,0.144739811,-0.134203595,
1271,0.008385753,0.123270048,
1272,-0.049748118,0.190108527,
1273,-0.197094155,-0.231077127,
1274,0.086568782,0.23188738,
1275,-0.019494648,0.181140603,
1276,0.155266767,0.19862112,
1277,1.049504899,1.888950323,
1278,-0.054745363,0.007505125,
1279,-0.084460741,-0.185810465,
1280,-0.116474104,0.310081091,
1281,0.027395219,-0.01175446,
1282,0.071131573,0.596280239,
1283,-0.116107929,-0.082334898,
1284,-0.165776123,-0.474543165,
1285,0.042775188,-0.03807566,
1286,0.007467886,0.559982038,
1287,0.05607549,-0.220306384,
1288,-0.218293176,0.194947725,
1289,0.039293537,0.015502588,
1290,-0.092298472,-0.122591341,
1291,0.140496631,-0.333570551,
1292,-0.03280355,0.022407177,
1293,-0.014370679,-0.095392734,
1294,0.078086697,-0.170267063,
1295,-0.049524367,0.229962382,
1296,0.009083781,0.012103549,
1297,0.25330725,0.192200891,
1298,-0.001023625,0.155093845,
1299,0.107554965,-0.032371961,
1300,0.091044272,0.462735898,
1301,0.01835454,-0.102515137,
1302,0.060137681,-0.009529062,
1303,-0.132001713,-0.298851921,
1304,0.13138989,-0.212574293,
1305,-0.151481726,-0.006814337,
1306,-0.180164748,0.366055755,
1307,0.258163219,0.837632632,
1308,-0.188372572,0.070101547,
1309,-0.032457974,-0.142161688,
1310,-0.037357424,0.088526619,
1311,0.374268532,0.194085192,
1312,-0.212240821,0.266270222,
1313,-0.014406104,-0.249290529,
1314,0.006643152,0.163171458,
1315,-0.184032221,-0.114450053,
1316,-0.137648889,-0.146567186,
1317,0.031602895,-0.075309456,
1318,0.065793262,0.247106854,
1319,-0.176517384,-0.017702155,
1320,0.040505728,0.042406817,
1321,-0.109581872,0.231511924,
1322,0.050507064,0.186940752,
1323,0.058672991,-0.047819402,
1324,0.161857787,-0.011617783,
1325,0.007531965,-0.07620615,
1326,-0.001633953,0.310582026,
1327,-0.020954384,-0.030963492,
1328,-0.118144912,0.020783999,
1329,0.121058703,-0.027288838,
1330,0.0525877,0.172113365,
1331,-0.006712677,0.15031766,
1332,-0.142302541,0.049308506,
1333,0.026658516,-0.011230714,
1334,-0.001642881,0.002849685,
1335,-0.046146566,0.547754783,
1336,-0.08265477,0.976227271,
1337,-0.278784452,0.017875127,
1338,-0.012576943,-0.069284176,
1339,-0.030075682,-0.29165283,
1340,0.104280542,0.104105288,
1341,0.188811402,0.038475361,
1342,-0.086542356,-0.124750424,
1343,0.150396337,-0.143237789,
1344,-0.063771139,-0.2005628,
1345,-0.046887209,0.117272691,
1346,0.226373428,-0.085932448,
1347,0.071021881,-0.224074139,
1348,0.126579463,-0.107218091,
1349,-0.128250187,0.01138185,
1350,0.123882692,0.547565292,
1351,0.044634713,0.017695232,
1352,0.100199235,0.035993782,
1353,-0.226845255,-0.012403493,
1354,-0.120641447,0.06547887,
1355,-0.007299383,0.055593401,
1356,-0.066576077,-0.019226924,
1357,-0.12876926,0.386118511,
1358,0.053457716,0.55962276,
1359,-0.052999037,-0.003999927,
1360,-0.013873059,-0.188635018,
1361,0.037504806,0.030196546,
1362,0.057953413,0.174851747,
1363,-0.210596378,-0.019434039,
1364,0.052264555,0.363792936,
1365,0.088627913,0.144763118,
1366,-0.030825369,0.11458558,
1367,0.110614002,-0.250755328,
1368,-0.148888805,-0.065384229,
1369,0.245362998,0.694824017,
1370,0.03812678,0.029607166,
1371,-0.060015805,-0.157422479,
1372,-0.038254568,0.124228075,
1373,-0.096725291,0.022838781,
1374,-0.072206314,-0.002919091,
1375,-0.003760963,0.025458159,
1376,-0.092984364,-0.099325225,
1377,0.050559214,0.246361442,
1378,0.006768338,0.249756646,
1379,0.038777145,-3.904873359,
1380,0.069561491,-0.456397216,
1381,-0.066157559,-0.035006042,
1382,0.015126355,-0.231149145,
1383,-0.09103815,-0.033796916,
1384,-0.0568383,0.323740884,
1385,-0.051357279,-0.257758892,
1386,-0.05516756,-0.080143139,
1387,0.002392588,-0.190580531,
1388,-0.075862085,-0.133084883,
1389,0.064081576,-0.126455243,
1390,0.16783009,0.135801885,
1391,-0.08139842,-0.00926117,
1392,0.189605904,0.194337937,
1393,0.018173294,-0.064133939,
1394,0.039160624,-0.013789895,
1395,0.02066564,-0.062962274,
1396,-0.04276778,-0.072062065,
1397,-0.096825103,-0.166464124,
1398,0.041159019,0.259899825,
1399,-0.054596731,-0.131902044,
1400,-0.390914451,-0.085020522,
1401,0.034776309,0.148172859,
1402,0.090800758,0.145187722,
1403,0.123347113,-0.265375313,
1404,0.755470958,1.61180538,
1405,-0.078855942,0.101258707,
1406,-0.089439192,1.179534006,
1407,-0.050453836,-0.160234432,
1408,0.02615313,0.350833946,
1409,0.132471631,0.153762508,
1410,0.131894991,0.051898002,
1411,0.641019763,0.666232882,
1412,-0.085865689,-0.075188054,
1413,-0.042959536,-0.190725377,
1414,0.018896545,0.406824802,
1415,-0.016020655,-0.073849533,
1416,0.080473086,0.421409491,
1417,-0.100443559,-0.091825388,
1418,0.117070678,0.413503455,
1419,-0.253196012,-0.109027363,
1420,-0.168059119,-0.104957051,
1421,-0.084456804,0.124466258,
1422,-0.281816059,0.275298388,
1423,-0.257226838,-0.056694055,
1424,-0.050146396,0.056674346,
1425,0.045937256,-0.228882003,
1426,0.251076415,0.322725105,
1427,0.046170994,0.495467443,
1428,0.091745032,0.09252011,
1429,0.026798703,0.562903472,
1430,0.071419231,0.206826971,
1431,-0.138079484,1.087309512,
1432,-0.057100159,-0.290337975,
1433,-0.060434698,0.04347142,
1434,-0.027000193,-0.048114599,
1435,0.125727134,0.058789711,
1436,0.048307522,-0.3515487,
1437,-0.033831358,0.145471114,
1438,0.019622776,-0.055198427,
1439,0.018950184,0.071703796,
1440,-0.118125321,-0.104957051,
1441,-0.165826661,-0.036420199,
1442,-0.193126752,-0.23115434,
1443,-0.273886421,-0.362330534,
1444,0.061173362,0.214492753,
1445,-0.027867226,0.182766934,
1446,-0.051733957,0.111144646,
1447,0.067333561,0.022734887,
1448,0.079137767,-0.156201042,
1449,-0.066764874,-0.055874423,
1450,0.028717165,0.048195878,
1451,-0.20717537,-0.354465576,
1452,-0.065145931,-0.195080008,
1453,-0.131099346,0.071498394,
1454,-0.349874138,-0.201347692,
1455,-0.062472001,0.057899149,
1456,-0.038635949,-0.054211868,
1457,-0.017681427,0.504260726,
1458,-0.004389214,-0.158865501,
1459,0.050926833,-0.011213764,
1460,0.007094903,-0.308580821,
1461,-0.087904284,-0.042095541,
1462,-0.622062394,-0.003101571,
1463,-0.023553671,0.033164783,
1464,-0.093622551,0.030623138,
1465,0.000942659,-0.198005826,
1466,-0.041626845,0.366055755,
1467,0.105938281,0.044908111,
1468,0.071250288,0.426151999,
1469,-0.166898591,0.385477522,
1470,0.028225066,-0.003154788,
1471,0.039942795,-0.111476441,
1472,-0.029385023,0.040727743,
1473,-0.097292673,0.101836277,
1474,-0.089083178,0.205460289,
1475,0.003511434,-0.133717691,
1476,0.038675337,0.695221612,
1477,0.052642774,-0.089568893,
1478,-0.883008276,-0.241568865,
1479,0.353132118,2.0304082,
1480,0.000883333,0.168671109,
1481,-0.035265715,0.197778113,
1482,-0.008993307,0.013980451,
1483,-0.137163054,0.089619861,
1484,-0.021449953,-0.027948783,
1485,0.008757155,-0.038897566,
1486,0.07853484,0.004245075,
1487,0.552814775,1.153600518,
1488,-0.030846486,-0.048234192,
1489,0.027442213,-0.17395483,
1490,-0.001120231,-0.141771468,
1491,-0.198496712,-0.251620292,
1492,0.046874463,0.297825563,
1493,-0.12116205,0.056799958,
1494,0.123511193,0.098198915,
1495,0.016326063,0.651788254,
1496,0.140943088,-0.082450558,
1497,0.092195452,0.051742513,
1498,0.107445679,0.122232533,
1499,-0.079983843,2.628094568,
1500,-0.352483572,-0.362828031,
1501,0.16645368,0.100080392,
1502,0.019101096,0.142447108,
1503,-0.106571662,0.021709102,
1504,0.074480694,-0.107365635,
1505,-0.186139047,0.225187187,
1506,0.01563017,-0.195066153,
1507,-0.195234147,-0.142737718,
1508,0.02471722,0.16969934,
1509,0.055378251,-0.032005699,
1510,-0.151395344,0.387026909,
1511,0.102697455,-0.022851986,
1512,0.186928937,-0.241819214,
1513,-0.120506819,-0.047358781,
1514,-0.069840011,0.168486895,
1515,0.10170151,0.263068288,
1516,-0.09335062,-0.233774009,
1517,0.162147311,0.313725721,
1518,-0.002582701,0.045873013,
1519,-0.041067708,0.020161947,
1520,-0.044838656,0.186871387,
1521,-0.051503423,0.025918234,
1522,-0.100325571,0.204345202,
1523,-0.125301314,0.173270317,
1524,0.021617326,-0.013723805,
1525,-0.043139415,-0.107547009,
1526,-0.066791312,-0.296249628,
1527,0.153927523,0.15098971,
1528,-0.068813325,0.306901917,
1529,-0.047221757,-0.083120084,
1530,-0.036093959,0.753824402,
1531,0.031643878,0.000834959,
1532,-0.160839824,-0.025843582,
1533,-0.02180531,0.349330278,
1534,0.006110151,-0.285040514,
1535,0.011786965,0.054435962,
1536,0.064118209,0.005367833,
1537,0.111215798,-0.107302826,
1538,-0.003606361,-0.234513824,
1539,0.090815589,-0.1062652,
1540,0.31490777,-0.836243839,
1541,-0.019580322,0.122638061,
1542,-0.248226741,1.097439129,
1543,0.026846775,-0.179212564,
1544,-0.09858175,-0.011780434,
1545,0.139107069,0.007995593,
1546,0.133503553,-0.176515789,
1547,0.305097745,-0.097914851,
1548,0.067781564,-0.258118417,
1549,0.20931905,-0.145261281,
1550,0.106673014,0.069823091,
1551,0.00671354,0.035939689,
1552,0.004723675,0.00937124,
1553,-0.054755009,-0.244570586,
1554,-0.092749617,-0.015262567,
1555,0.018673211,0.268218801,
1556,0.018731547,0.246535395,
1557,0.340080631,-0.087146187,
1558,0.034392055,-0.254673593,
1559,0.009880878,-0.119719089,
1560,0.011082712,-0.009539613,
1561,0.021395768,-0.036866303,
1562,-0.002690639,-0.06767912,
1563,0.204668752,0.083566129,
1564,-0.026925387,0.162478368,
1565,-0.024156041,-0.359925986,
1566,0.062047752,0.046924996,
1567,-0.32687015,-0.680525212,
1568,-0.124123669,-0.089951454,
1569,-0.045415599,-0.820051736,
1570,0.065248812,-0.179515794,
1571,0.086125948,-0.128464207,
1572,-0.136339403,0.116816971,
1573,-0.03297742,-0.150594562,
1574,-0.031895924,0.000361112,
1575,0.101419087,-0.000777594,
1576,-0.054922308,0.100089838,
1577,-0.044119276,0.06508249,
1578,0.024631697,-0.042465696,
1579,-0.084133668,-0.130056045,
1580,0.017577478,0.5363984,
1581,0.133413473,0.147176927,
1582,-0.0349875,-0.081244625,
1583,0.050937369,-0.146024861,
1584,0.05562027,-0.27995226,
1585,0.069096651,-0.000494714,
1586,-0.013344444,0.561070853,
1587,-0.139522304,-0.122612873,
1588,0.038281585,-0.061344244,
1589,-0.000987203,-0.039576064,
1590,0.097100527,-0.227146857,
1591,-0.084719406,0.050138745,
1592,-0.199995592,0.094875997,
1593,-0.042741123,0.206120047,
1594,-0.064559798,-0.287232393,
1595,-0.093808339,0.618460638,
1596,0.035890334,-0.410372137,
1597,0.036529698,0.171549598,
1598,-0.036045033,-0.009701299,
1599,-0.09707029,0.298312367,
1600,0.088413488,0.772224346,
1601,0.223141522,0.425619698,
1602,0.056300645,0.410166372,
1603,0.027968664,0.224182073,
1604,0.301329491,0.788061208,
1605,0.174503898,-0.217314011,
1606,-0.021827068,-0.024281399,
1607,0.003269769,0.223225612,
1608,0.248506925,0.12567436,
1609,-0.022146573,0.305537705,
1610,-0.000586321,-0.053205859,
1611,0.1189425,0.019601075,
1612,0.069373012,-0.108496544,
1613,0.004520792,-0.419972493,
1614,0.02541508,0.157503176,
1615,0.081925181,0.013195166,
1616,-0.012418111,0.273842034,
1617,-0.101496051,0.089452399,
1618,-0.068812914,-0.100909345,
1619,-0.070530655,0.221045896,
1620,-0.038078334,-0.102515137,
1621,-0.008079014,-0.112463765,
1622,-0.142700462,-0.194499463,
1623,-0.086195401,0.049746136,
1624,-0.003634285,0.186785419,
1625,-0.014623038,0.329185798,
1626,-0.102188806,0.737486557,
1627,0.088545093,1.288820444,
1628,-0.187145597,0.109115224,
1629,-0.001467268,-0.070562475,
1630,0.001586726,0.128093134,
1631,-0.214651506,-0.956622464,
1632,-0.029108062,0.099391268,
1633,0.052255408,0.17895145,
1634,0.032856359,0.194947725,
1635,0.035684649,-0.232448095,
1636,0.001152961,0.367306586,
1637,0.00448606,-0.283679606,
1638,0.086927427,0.117413462,
1639,0.155424573,0.992694743,
1640,-0.019382297,-0.180925538,
1641,0.008499524,0.046255693,
1642,-0.127549708,-0.057435571,
1643,0.035048776,0,
1644,0.117902661,-0.081742602,
1645,0.012681515,0.366825262,
1646,-0.033335637,-0.183195641,
1647,-0.00029401,-0.121948887,
1648,-0.331684866,-0.001202036,
1649,0.010574794,-0.0638845,
1650,-0.089114703,0.435618322,
1651,0.002480349,-0.859333828,
1652,0.598595392,1.061432651,
1653,0.222062801,-0.051488374,
1654,-0.202856109,0.229057349,
1655,0.031104081,-0.010834633,
1656,0.015746644,-0.231025422,
1657,-0.250920065,0.375148734,
1658,-0.006404065,-0.055947139,
1659,-0.230277468,-0.097454836,
1660,-0.03320244,0.186508864,
1661,0.053819145,0.064918992,
1662,0.57171237,1.125121631,
1663,-0.051895009,0.187019457,
1664,-0.027140047,0.177210582,
1665,-0.088501737,-0.131809041,
1666,-0.082002205,-0.137832334,
1667,0.021094709,-0.150329865,
1668,-0.104668384,-0.150540847,
1669,-0.055405813,-0.270500336,
1670,-0.068423507,0.096771683,
1671,-0.058782448,-0.234453843,
1672,-0.025803379,-0.097944321,
1673,-0.089124949,0.359426544,
1674,0.018143273,-0.048400377,
1675,0.060424056,-0.152529972,
1676,-0.035425911,0.169859448,
1677,-0.017223532,0.179244949,
1678,-0.031343895,0.153575414,
1679,-0.280385055,-0.300004411,
1680,0.038431684,0.024096406,
1681,0.01195998,-0.065411651,
1682,-0.025314341,-0.146571607,
1683,-0.136136618,-0.017723834,
1684,-0.062774636,0.13514615,
1685,1.271566308,1.581455591,
1686,-0.176321416,-0.106000798,
1687,-0.041857678,0.215734124,
