gene,RNA,protein,
201,-0.070437952,-0.225520738,
202,-0.028763837,0.208702631,
203,-0.060319725,0.123202771,
204,0.045792562,-0.280352821,
205,-0.245201503,-0.32041021,
206,0.116650334,-0.03957506,
207,0.022218011,0.098950817,
208,-0.095222185,-0.211634512,
209,-0.105035894,0.013003643,
210,0.108814134,0.369122707,
211,-0.098782585,-0.121550057,
212,0.026388914,0.059784662,
213,0.02127691,0.41319951,
214,0.041873751,0.019608695,
215,0.091723108,0.040172529,
216,-0.001576595,0.207778638,
217,-0.086515069,-0.110806924,
218,-0.020703292,0.242133517,
219,-0.083696533,-0.074888352,
220,0.013479747,-0.049707684,
221,0.121655837,0.134559321,
222,0.025914307,0.250839925,
223,0.124054037,-0.077489558,
224,0.032623971,0.129704706,
225,0.000739695,0.05101357,
226,-0.013502542,0.04843137,
227,-0.058775297,0.470189484,
228,-0.013466765,-0.359085046,
229,0.094464222,0.513068986,
230,0.008290351,-0.022079716,
231,-0.130753046,-0.308666317,
232,-0.127223183,-0.041077146,
233,-0.04647619,0.016507074,
234,0.052305175,-0.071584586,
235,0.074685214,0.436784749,
236,0.10372897,0.157555034,
237,-0.031941517,-0.04527996,
238,0.047859874,-0.244829793,
239,0.093476156,0.198067546,
240,-0.017859018,0.062500017,
241,-0.023521059,-1.059348543,
242,-0.023945456,-0.243907161,
243,-0.065404918,0.213224594,
244,-0.014235809,0.278553815,
245,-0.052326886,-0.076098714,
246,0.073731103,0.221085052,
247,0.032706461,0.329869224,
248,0.058760389,0.011643588,
249,0.034504631,-0.102755607,
250,-0.119339397,-0.635908942,
251,-0.227145804,-0.023893949,
252,-0.077355752,-0.250182414,
253,0.220056376,0.431693244,
254,-0.076272236,0.200116099,
255,-0.150996151,-0.212530183,
256,0.021511512,0.187927407,
257,0.067345989,0.297014107,
258,-0.016565692,-0.225770075,
259,0.119893606,0.719174163,
260,0.144291849,0.719174163,
261,0.03429632,0.159616809,
262,-0.256382596,-0.06101948,
263,-0.045886888,0.256951395,
264,0.009951565,-0.129196744,
265,-0.071523952,0.006857076,
266,-0.085422136,0.156511352,
267,0.073897823,0.161129043,
268,0.028401392,0.439241611,
269,0.020954642,-0.049013518,
270,-0.054559715,-0.185903972,
271,-0.010476107,-0.207529643,
272,0.17808569,0.265375715,
273,-0.095499409,7.96E-05,
274,-0.096320773,-0.063184332,
275,0.020358215,0.27712158,
276,-0.06605489,-0.012067157,
277,-0.04857744,0.294968813,
278,0.029589552,-0.195609121,
279,-0.38208989,-0.318753675,
280,-0.088390913,-0.111083462,
281,-0.100773701,0.417960411,
282,0.022753377,0.019141483,
283,-0.082009075,0.102376159,
284,0.10704861,0.118428325,
285,0.034137857,0.483074507,
286,-0.153271857,-0.204907425,
287,-0.234254365,-0.414669665,
288,0.917757805,0.947881756,
289,0.484993946,0.616836538,
290,0.657075396,0.947881756,
291,0.689347103,1.818595014,
292,0.016263429,-0.092239844,
293,0.017742943,-0.211267898,
294,0.138337234,0.330114096,
295,-0.142252266,-0.365039166,
296,-0.005900784,0.47621279,
297,0.048735831,-0.136750942,
298,0.183958841,-0.125392682,
299,0.001035185,-0.394264914,
300,-0.024636959,0.1623783,
301,-0.631568006,0.030266324,
302,0.089086767,0.480916066,
303,-0.076146061,0.264876997,
304,-0.093548284,-0.302938868,
305,0.054636513,0.818031834,
306,-0.022365461,0.122760665,
307,0.146747383,0.373047072,
308,-0.112931004,0.350206713,
309,0.02453801,0.246073391,
310,-0.071847345,0.431306003,
311,-0.060834329,-0.187531896,
312,-0.085286921,0.12553684,
313,0.010511263,-0.239407579,
314,-0.072883585,0.003014604,
315,-0.272822971,0.144316798,
316,0.089777944,0.158926025,
317,-0.058394481,-0.063041936,
318,-0.040821061,0.057538692,
319,0.030650988,0.177847841,
320,-0.008427003,0.215222368,
321,-0.20378762,-0.191126838,
322,0.063462809,-0.090573932,
323,0.018346745,0.315730991,
324,-0.089693146,-0.065911872,
325,-0.154518837,0.08409423,
326,0.054998886,-0.122405618,
327,0.054538228,0.624020784,
328,0.032527223,0.096282828,
329,-0.375475878,0.090209051,
330,0.031081912,-0.317456015,
331,0.116811557,0.283076427,
332,0.08711796,-0.175901824,
333,0.045806678,-0.072098588,
334,-0.083602726,-0.116058785,
335,0.002330902,0.030314743,
336,0.044921445,-0.028708157,
337,0.00210004,0.259173962,
338,0.06784941,-0.137536876,
339,-0.080895824,-0.101806559,
340,-0.202924958,-0.013794749,
341,-0.001037603,-0.390045844,
342,-0.007391007,0.164946434,
343,-0.146489406,0.106242283,
344,-0.277954579,-0.612548615,
345,0.022399733,-0.481745378,
346,0.003632768,0.150765776,
347,0.118812401,0.003442557,
348,-0.086141076,-0.158038458,
349,0.071009549,0.340975086,
350,0.128394213,0.700086448,
351,0.280864558,0.808915714,
352,0.001636708,0.259486885,
353,0.052492346,-0.254880968,
354,-0.060041204,0.539535932,
355,-0.035810826,-0.151016291,
356,-0.282674022,-0.443036226,
357,-0.158695933,-0.256974946,
358,-0.018432647,0.035569907,
359,0.124437015,-0.204469665,
360,-0.11658132,0.112404102,
361,-0.001093716,0.080023023,
362,-0.170292485,-0.078038482,
363,0.05340774,-0.089269361,
364,0.148378805,0.339389647,
365,0.089393838,-0.126009687,
366,-0.020861877,0.010186415,
367,-0.015479867,-0.275902011,
368,0.033177988,0.166469288,
369,0.071881034,0.037966905,
370,0.129390231,0.412027048,
371,0.037257398,0.294365286,
372,-0.026257713,-0.079692265,
373,-0.295777276,-0.34493507,
374,-0.086969513,-0.113906279,
375,-0.034731946,-0.041289993,
376,0.121843671,0.055059739,
377,0.187608017,-0.399048122,
378,0.241854129,-0.221256311,
379,-0.07048007,0.004080736,
380,0.066126111,-0.032956332,
381,-0.055468968,-0.327708829,
382,-0.002261236,0.30191093,
383,0.011297292,-0.057168772,
384,0.008680206,0.34134109,
385,-0.208359024,-0.01064967,
386,0.030073622,-0.037515414,
387,0.054229795,0.118154893,
388,0.004358633,1.458693826,
389,-0.093697714,-0.124470606,
390,-0.052829325,0.20390085,
391,-0.191191594,-0.024484697,
392,-0.029719292,-0.013645118,
393,-0.195864598,0.428492749,
394,0.028473435,0.019837771,
395,-0.112734779,0.25094426,
396,-0.028959467,-0.037391347,
397,0.056836808,-0.409560367,
398,0.08105347,-0.026768028,
399,-0.01568369,-2.313245016,
400,0.153334759,0.054330737,
401,-0.014529241,-0.006082757,
402,-0.020814983,-0.241854495,
403,-0.02530874,-0.157612352,
404,-0.223227919,0.224214894,
405,0.10861661,0.864542496,
406,0.02041334,0.462114199,
407,0.067821523,-0.191982069,
408,-0.029108508,0.277428655,
409,-0.143606593,0.344581911,
410,1.223389847,1.875095251,
411,-0.318847022,0.187619906,
412,-0.101187339,0.186093003,
413,0.081461058,0.332846382,
414,-0.155230733,0.106632451,
415,0.007335786,0.655616329,
416,-0.097945741,0.067928601,
417,-0.37023137,0.226871159,
418,-0.2040818,-0.173008076,
419,-0.013406051,0.020934955,
420,-0.008999425,-0.022080842,
421,0.056923664,-0.193242486,
422,-0.103787098,0.32110756,
423,-0.083716152,-0.462756784,
424,-0.148720334,0.391029073,
425,0.020966896,0.40209312,
