Gene names,ratio,P
ADCY3,0.988346547,0.473095907
SLIT3,0.989679605,0.701180594
BTBD9,0.954464222,0.241674514
LDAH;C2orf43,0.835381203,0.016602322
PHC2,1.096288144,0.14115174
EXOC5,0.913008423,0.003535175
RASA2,1.125915159,0.098972862
SPC24,0.96434917,0.518291373
FRMPD3,0.747639521,0.745369949
SLC4A7,0.956166067,0.066747243
ELMSAN1,1.009379085,0.975619764
TAPBP,1.253286899,0.062956555
TK2,1.023973716,0.661817168
FDXR,1.039225266,0.697447088
LIPA,0.947111357,0.102666954
SCAF8,1.028739504,0.78869925
CCM2,0.92813919,0.222719859
IVD,1.028494514,0.714680958
WDR36,0.941642464,0.336971503
ILK,0.980419496,0.101846471
BTAF1,0.963792884,0.124854892
DHCR24,0.917436113,0.063335735
ELOVL5,1.06040551,0.713188642
NCEH1,0.968438643,0.651295385
FAM65A,0.923960237,0.014036767
CUL2,0.977067018,0.216429506
KIAA0391,0.907718382,0.049771665
RNF213,1.81058447,4.85484E-06
TTN,0.797969466,0.087095357
ZFP91-CNTF;ZFP91,1.017709017,0.765793264
C15orf38-AP3S2;AP3S2,0.96040989,0.689504612
PPAN-P2RY11;PPAN,1.071712403,0.231613399
CORO7-PAM16,1.023451743,0.755088604
C10orf32-ASMT;C10orf32,1.039020857,0.574838019
PI4KB,0.98964449,0.641428399
MED24,0.965704849,0.300157845
NAA15,1.011105982,0.935481151
SRSF7,1.103622431,0.030152019
GTF2A2,0.906901263,0.171674744
LYZ,1.11886846,0.109186489
TUBB3,1.000017486,0.965676347
TRAPPC2L,1.013222735,0.904993089
COMMD4,0.982304454,0.527041775
TRPV1,1.002836482,0.911693271
RPS15,1.061077168,0.197891313
PWP2,0.977609457,0.393083183
POLR2J3;POLR2J;POLR2J2,1.308647494,0.037157282
TM9SF4,0.982876031,0.498357162
MGLL,1.067991021,0.613628428
TCTN3,0.924277003,0.358414261
NGLY1,0.928814823,0.187748829
ZBTB34,1.009608657,0.981378152
NELFA,0.960908508,0.019414617
ARSA,0.988921361,0.701364458
DNMT3A,0.966995422,0.582479323
RPSA,1.041438587,0.373160388
ABI2,0.851628826,0.492882154
MLXIPL,1.094042418,0.033739486
PEX1,1.024530173,0.457936699
HTRA2,0.944788611,0.462754619
PUM2,0.938116889,0.26331933
POU2F1,1.087953621,0.085928136
DDX46,0.942279383,0.078875189
ECI2,1.027626796,0.687269868
SCOC,1.023297248,0.851947347
DIMT1,1.03869422,0.67895953
CAST,1.075507424,0.250235775
PPA2,1.008031621,0.94929296
RTEL1,0.950858839,0.57442511
STX3,0.994584557,0.764642601
CHD4,0.951953789,0.063325714
CD276,1.018562601,0.641482625
NUMBL,1.097987874,0.478200969
CHURC1;CHURC1-FNTB,1.026736932,0.81288152
CAPNS1,1.09930225,0.315064719
RPRD1A,1.032037601,0.546381704
DHRS7B,1.009753041,0.965557736
DDOST,0.999391442,0.819891713
CEPT1,0.968583129,0.239228692
FBXO31,1.000037634,0.999848102
LIG4,1.077013665,0.517388575
CUL1,1.014820895,0.84317613
POLR3E,0.921738879,0.04784231
TBXAS1,0.923537718,0.079319892
CDK11B;CDK11A,0.977024665,0.236727305
FAM120B,1.046397411,0.680448576
RUNX2,1.062520359,0.294955894
TLE3,1.084214624,0.003646262
RANBP10,0.986798396,0.363200928
MAP4K4,1.043354719,0.422849848
DDX3X,1.076480312,0.049568191
TBL1XR1,0.99637859,0.615967312
FHL1,0.992463448,0.773958294
MYO18A,0.992462622,0.56476818
DGKH;DGKD,0.964676071,0.709548023
UBE2A,0.998638599,0.970107359
STXBP1,0.972980963,0.378921995
PHF6,1.061292982,0.524102574
SYNJ1,1.031933646,0.579192139
DIAPH1,1.05100684,0.34278553
PPP1R18,1.033737708,0.50849986
GTF2H4,0.92888853,0.594290132
BRD2,0.861721463,0.045126227
EHMT2,0.956399978,0.526142407
HSPA1B;HSPA1A,1.175262812,6.0427E-05
ABHD16A,0.957001764,0.531182734
WDR46,0.908866608,0.075788763
FCAR,1.024684486,0.782141368
LAIR1,1.057108073,0.214090757
ZNF66,0.997372369,0.741173978
LILRB4,1.095821335,0.348561769
LILRB4,1.115141298,0.02314672
RAD17,1.033122522,0.649511715
TSEN34,0.843679229,0.39427371
ARHGAP27,0.977418124,0.252961431
SCRIB,1.016091204,0.876961914
C4A;C4B,0.960519938,0.531146429
SDCCAG8,0.951011218,0.043765875
PRAME,1.060658634,0.714247332
NAIP,1.029366075,0.595135091
AP2A2,1.023586507,0.611504868
PUF60,0.971515636,0.02163771
PHRF1,1.002147513,0.899178403
CELF2,1.14158264,0.004832381
WDR81,0.944652534,0.08309751
ARL6,0.944172554,0.333426093
,0.947740584,0.982568961
MATR3,1.023595328,0.767968906
MEF2C;MEF2A,0.963688896,0.36841138
FPGT,0.975663878,0.434966002
CLN6,1.031398605,0.843083916
GAN,0.773874835,0.223840031
,0.949064449,0.23298402
EIF4G3,0.949042431,0.105982386
,1.295447642,0.120894534
hCG_2043597,1.015502442,0.939840267
SCYL2,0.940562522,0.347876819
hCG_2004507;CSNK1G1,0.994296158,0.878626668
DENND4A,1.025001786,0.750985373
METTL15,0.953432154,0.533302671
,0.949709622,0.655405286
MICU1,1.086872149,0.311329286
ELF1,1.032983906,0.355633641
,1.145138413,0.27111024
SPATA20,0.90767933,0.332053112
,0.997072385,0.992997816
ENAH,0.857754728,0.050619058
HLA-C;HLA-Cw,1.906576515,0.00026053
HLA-A,1.412201084,4.97227E-05
HLA-C,1.590846102,0.000503998
TAP1,1.626789901,4.6446E-05
QIL1;C19orf70,1.038668822,0.674195988
TXNRD2,1.020508881,0.851472319
VIMP,1.004394363,0.934320293
FTO,1.021291353,0.745827825
FLJ00186;RASSF5,0.94464613,0.04598167
TNFAIP8L3,1.110888544,0.160536336
RAB11FIP5,0.914144937,0.40413388
ASAH1,1.004878674,0.886119513
ADAMTS2,1.044798143,0.758589873
TNRC6C,1.145675459,0.446154234
LRMP,1.048416759,0.21417638
ACY1;ABHD14A-ACY1,1.009626696,0.971741646
KIAA1279,0.985673742,0.473307172
UMAD1,0.991723312,0.791422969
RALGAPA1,0.651458862,0.006751171
EFR3A,1.073374784,0.455621856
ZEB2,0.956773207,0.334221386
EHMT1,0.945686962,0.000510789
RASGEF1B,1.048044555,0.603920999
ATP6AP2,0.993193477,0.782857023
CTSD,1.116951649,0.054536246
AHR,0.933190451,0.087906694
,1.048292597,0.349431822
ORMDL1;ORMDL2,1.026935534,0.783604584
SLC35A3,0.959940635,0.138703307
DPYSL2,0.967136787,0.406210131
MAPK15,0.951120966,0.010681271
SFXN3,1.016256193,0.78042012
PIGT,0.959191539,0.275201906
IER3IP1,0.835620707,0.122666421
,0.989965775,0.631756031
STAT6,1.073883908,0.09797277
UNC45A,0.969072075,0.109384217
ELP4,0.980727385,0.76223362
JMJD1C,1.030782921,0.752621748
PARL,1.002889744,0.923236898
DPAGT1,0.87589197,0.031134113
,0.887697105,0.053039528
GOSR2,1.054593903,0.270308106
ME2,1.021826267,0.539408858
LIAS,0.947611024,0.416333443
STRADA,0.907041117,0.662642118
,1.338643739,0.354311424
VPS72,1.048021365,0.436604465
SCARB2,1.047175188,0.731820858
TCEA1,1.032070381,0.390603602
CCNT1,0.778175093,0.33183984
RPS10;RPS10-NUDT3,1.031065705,0.496662211
LAT,1.0936267,0.292557267
GCSH,1.07167901,0.18434144
PFKFB3,1.041874908,0.632424055
,1.082526624,0.674493046
IQSEC2,0.952883781,0.953516077
SMN1;SMN2,1.011242029,0.897705572
MED17,1.040776181,0.090287904
PIK3C3,1.010445307,0.947193447
DDX17,1.057599647,0.111129794
MYO6,0.953760272,0.087835889
NFIC,0.876559951,0.092474944
PHGDH,1.008209729,0.97291258
FRY,1.004340888,0.914539393
MON2,0.911674678,0.014908527
IPCEF1;CNKSR3,0.832307872,0.004384518
CAMK2G,1.024667459,0.658447312
PNISR,1.01193634,0.9334551
OSBPL2,1.095811833,0.067796576
COMMD7,0.950666714,0.706340804
SPAST,1.059982768,0.308666345
CD47,1.102686605,0.01883519
SAMSN1,1.226579275,0.094771964
CCDC82,1.009822174,0.990364074
SMARCA4,1.046413227,0.420421459
ATP2B2,0.96794285,0.500334899
TRMU,0.984183944,0.647859454
IFNGR1,0.829480894,0.003100553
SPG7,0.90387787,0.002516491
CCDC9,0.996534846,0.868742829
TBC1D24,1.099690915,0.088413633
CTNNB1,0.930618545,0.024222793
PLEKHM2,1.00822891,0.965669826
CTCF,0.896005581,0.364983345
ATXN2,1.047051187,0.109542395
CBLB,1.117964413,0.130219676
TSC2,1.07337164,0.287652281
TSC1,0.99445488,0.667575587
HARS2,0.99814466,0.524161783
SLC11A2,1.032704072,0.526018095
TBCE,1.060620416,0.252091425
RDX,1.103871558,0.035239735
,1.04275989,0.599437995
ATP13A3,1.035526859,0.541071163
GIPC3,0.990812047,0.619843468
UCK2,0.821819111,0.13251731
MEA1,0.949813245,0.452137049
,0.89994071,0.27643646
BPTF,0.984519411,0.866926016
COL4A3BP,0.947233885,0.320113995
PPFIA1,1.097956098,0.004172178
RPS14,1.14904136,0.003315154
RPS24,1.193386608,0.017114375
CUX1,0.960836863,0.14680301
SMARCE1,1.056368636,0.34805512
PFKM,0.970717022,0.511326688
RNASEH2B,1.007559691,0.999567447
CSNK2A1;CSNK2A3,1.016791934,0.729956731
SUCLA2,1.01491779,0.821104431
SLC29A3,0.873339616,0.414991081
EPS8,1.030470017,0.757988638
CCNH,1.047768213,0.397874849
TRANK1,1.012785007,0.857200345
ABHD5,0.945465425,0.072908586
VPS33A,0.972756509,0.260745673
MICAL2,0.883968935,0.381119301
TBCEL,0.987983563,0.912759177
NMNAT3,0.880824076,0.358726423
SEC23B,1.029066262,0.229266336
RPGR,0.932938842,0.158279832
ARHGEF7,0.988961453,0.108302446
EEF1A2,1.050082196,0.696987759
CD59,1.067481147,0.076869737
PLCH1,0.997854895,0.888596071
NDUFA6,1.121243454,0.469928146
PNPLA6,0.99889785,0.673609972
CTPS1,0.994429566,0.466551353
HDAC8,0.991607691,0.770533424
SLC25A32,0.864656042,0.053609668
CREG1,1.088048907,0.04972775
CDC73,1.023578783,0.720740586
HMBS,1.057209186,0.235069565
SSR1,0.988547628,0.77802999
ALG11,0.913073415,0.0926585
IRF7,2.355819145,0.00132297
LARP1B,0.808416363,0.339356028
IDE,0.940604883,0.260114653
ANKS1A,1.067609702,0.019147987
SLC25A36;SLC25A33,0.906160956,0.094769516
GPNMB,1.01393459,0.861682821
ICA1;ICAp69,0.942694968,0.218767549
DSC2,0.77947103,0.349715037
COL4A1;COL4A5,0.876299958,0.289773046
,0.898413067,0.305063764
LRRC57,1.000039766,0.938163737
WDR37,1.002786709,0.752602065
C8orf33,1.049457522,0.410529615
PLD4,0.939543255,0.911750864
MCM4,0.95169513,0.314868523
IMPACT,0.910592171,0.466854613
,0.971682358,0.979731061
RAB2B,1.023902421,0.826639511
MMAA,1.102170187,0.097927677
POLA2,1.032941246,0.839783923
RAB12,1.035074374,0.283144108
RPL29,1.267855607,0.025382546
ITPR1,1.013134311,0.88062536
ABCD3,0.974910469,0.501767162
THRAP3,1.086692967,0.190844314
AMDHD2,1.105429402,0.256931445
EIF2B5,0.945661521,0.322912459
HM13,1.016086131,0.84385959
MSTO1,0.962305732,0.299173468
PDCD11,0.970940867,0.139953926
ARID1B,1.012351878,0.901388256
ENOSF1,0.890652347,0.027066221
TACC3,0.797586579,0.063105083
MPRIP,0.969701278,0.397151261
LRBA,0.969762003,0.105850461
NLRC4,1.032635583,0.374592858
TMEM87B,1.116780239,0.406157505
DEK,1.053173223,0.11065809
HYOU1,1.086438595,0.005181975
NKAP;NKAPL,1.008118146,0.987945411
CCBL1,1.00119517,0.973665207
SP3,1.104323147,0.263361452
EBP,1.008897904,0.933087515
PGM3,1.089850971,0.01029057
AGRN,1.051916138,0.461836658
PARN,1.001574699,0.79343274
CLUH,0.992024928,0.580868171
TMEM173,1.132666182,0.085659305
ITGB2,1.051278474,0.250133918
KRI1,0.905944058,0.073087027
DIP2A,1.029710245,0.761588078
STAT2,1.522598364,0.010503006
NUP214,0.966818175,0.207975005
ALDH1L2,0.993091189,0.567391776
FKBP2,1.050730967,0.566338729
GTF3C3,0.986401108,0.406365305
FAM83H,0.916418432,0.201412042
NBEAL2,1.004593753,0.882395863
SART3,1.024463209,0.46551302
DKFZp686E14208;MKNK1,1.003272017,0.852542443
ESYT2,1.008254671,0.999844937
WDR26,0.986912012,0.303117731
MYCBP2,0.955187975,0.124733619
TGFB1,1.266733002,0.03376929
APOBR,1.029992006,0.760061311
,0.919674087,0.519062142
ATR,0.947189045,0.235126353
CSNK1A1;CSNK1A1L,0.96027147,0.14234889
KCNAB2,1.042217111,0.477828184
SRSF6,1.024066289,0.502578447
ITCH,1.008432273,0.975158052
NIPBL,0.96816119,0.060914022
ABCB7,0.943932603,0.473371286
MSH3,0.95095874,0.415659433
RYR2,1.673852732,0.086083613
AMPD2,0.962117186,0.008771142
SDF4,1.063596311,0.064350516
TGOLN2,1.018173504,0.877125353
CSNK1A1,0.983174021,0.973512934
SPCS1,1.047184819,0.606772787
ASCC1,1.101788543,0.283771011
PRIM1,0.932442327,0.38978573
AMD1,1.066412783,0.587352238
RAPGEF6,1.017931104,0.707042321
RXRA;RXRG;RXRB,0.932452474,0.782059335
ALDH3A2,1.055805148,0.384477308
ACAT1,1.093851715,0.030918542
SACM1L,0.939998205,0.231180008
ACP2,1.000710763,0.849710317
